# GeoNames cities15000; CC BY 4.0
# geoname_id,latitude,longitude,country_code,encoded_name
132428,31.446860,49.529510,IR,Haftkel
132458,32.226620,50.793140,IR,Hafshejan
132892,36.842700,54.443910,IR,Gorgan
132938,37.250040,55.167210,IR,Gonbad-e%20Kavus
132961,34.352870,58.683650,IR,Gonabad
133037,33.453700,50.288360,IR,Golpayegan
133595,27.669660,54.135860,IR,Gerash
133852,27.208300,53.036100,IR,Parsian
133884,32.245850,48.813150,IR,Gotvand
133964,35.218240,52.340850,IR,Garmsar
133972,39.021500,48.080100,IR,Germi
134217,29.579100,50.517000,IR,Bandar-e%20Genaveh
134255,36.727340,53.808880,IR,Galugah
134282,37.272590,55.433940,IR,Galikesh
134441,37.224000,49.312500,IR,Fuman
134462,35.756740,52.770620,IR,Firuzkuh
134518,28.844590,52.571510,IR,Firuzabad
134598,35.515600,51.623200,IR,Ferunabad
134602,36.684890,52.519170,IR,Fereydun%20Kenar
134613,34.018500,58.172220,IR,Ferdows
134636,36.898020,54.749630,IR,Fazelabad
134721,28.938300,53.648200,IR,Fasa
134762,32.256940,50.560950,IR,Farsan
134781,28.860120,52.094520,IR,Farrashband
135053,27.762200,54.004170,IR,Evaz
135094,29.126600,54.042100,IR,Estahban
135175,34.108900,46.529880,IR,Eslamabad-e%20Gharb
135205,35.725500,50.366200,IR,Eshtehard
135298,37.076450,57.510090,IR,Esfarayen
135355,30.898850,52.697010,IR,Eqlid
135423,36.418190,54.976280,IR,Shahrud
135878,33.492180,49.061600,IR,Dorud
136014,30.358600,50.798100,IR,Dogonbadan
136156,35.913900,47.023900,IR,Divandarreh
136256,32.381140,48.405810,IR,Dezful
136280,27.839900,51.937800,IR,Bandar-e%20Deyr
136399,33.990500,50.683800,IR,Delijan
136702,32.694100,47.267900,IR,Dehloran
136987,30.793370,50.565080,IR,Dehdasht
137025,30.613100,53.195400,IR,Safashahr
137057,31.939860,51.647310,IR,Dehaqan
137268,31.563500,48.189580,IR,Susangerd
137436,33.144470,47.379900,IR,Darreh%20Shahr
137585,37.444470,59.108090,IR,Dargaz
137929,32.987410,50.410800,IR,Daran
137956,28.751710,54.540650,IR,Darab
138025,36.167900,54.342920,IR,Damghan
138042,35.718420,52.069580,IR,Damavand
138381,28.986000,51.036400,IR,Choghadak
138742,36.645460,59.121230,IR,Chenaran
138989,30.755610,50.745220,IR,Charam
139223,36.655000,51.420400,IR,Chalus
139706,35.603100,51.309800,IR,Chahar%20Dangeh
139817,28.968870,50.836570,IR,Bushehr
139879,35.729720,51.868840,IR,Bumahen
139889,36.521000,46.208900,IR,Bukan
140044,33.897300,48.751600,IR,Borujerd
140046,31.965230,51.287300,IR,Borujen
140097,29.269900,51.218800,IR,Borazjan
140380,37.474730,57.329030,IR,Bojnurd
140463,32.866280,59.221140,IR,Birjand
140521,35.866800,47.605060,IR,Bijar
140889,37.340400,46.056100,IR,Bonab
140918,36.692350,53.552620,IR,Behshahr
140951,30.595900,50.241700,IR,Behbahan
141015,37.363100,49.132900,IR,Masal
141349,35.262180,57.970750,IR,Bardaskan
141407,29.066300,58.404600,IR,Baravat
141584,35.997500,45.885300,IR,Baneh
141653,36.901240,54.071950,IR,Bandar-e%20Torkaman
141663,30.556550,49.188520,IR,Bandar-e%20Mahshahr
141665,26.562070,54.883820,IR,Bandar-e%20Lengeh
141666,26.597750,54.936940,IR,Bandar-e%20Kong
141673,36.774090,53.947980,IR,Bandar-e%20Gaz
141676,30.054200,50.159000,IR,Bandar-e%20Deylam
141679,37.473180,49.457850,IR,Bandar-e%20Anzali
141681,27.186500,56.280800,IR,Bandar%20Abbas
141736,29.106000,58.357000,IR,Bam
142000,34.907200,48.441400,IR,Bahar
142114,31.523980,49.885580,IR,Bagh-e%20Malek
142247,29.233100,56.602200,IR,Baft
142255,31.603500,55.402490,IR,Bafq
142358,36.699290,52.650110,IR,Babolsar
142363,36.551020,52.678600,IR,Babol
142496,33.609500,48.930700,IR,Azna
142497,33.456430,49.456460,IR,Azna
142554,37.477900,47.050800,IR,Hashtrud
142567,33.931320,49.406290,IR,Shazand
142676,38.430840,48.869940,IR,Astara
142679,37.263180,49.943250,IR,Astaneh-ye%20Ashrafiyeh
142768,37.561500,56.921250,IR,Ashkhaneh
142872,34.782410,48.120120,IR,Asadabad
142958,29.912400,53.308500,IR,Arsanjan
143052,33.379390,52.369810,IR,Ardestan
143073,32.310010,54.017470,IR,Ardakan
143083,38.249800,48.293300,IR,Ardabil
143122,34.057510,51.482910,IR,Aran%20Bidgol
143127,34.094930,49.698090,IR,Arak
143420,32.461500,48.353680,IR,Andimeshk
143471,28.475900,57.848000,IR,%27Anbarabad
143499,30.870660,55.270250,IR,Anar
143534,36.469610,52.350720,IR,Amol
143539,37.096600,50.187090,IR,Amlash
143561,36.596730,52.665800,IR,Amir%20Kola
143860,35.658840,51.057750,IR,Shahriar
143921,33.404000,49.691790,IR,Aligudarz
144038,36.910110,54.867370,IR,%27Ali%20Abad-e%20Katul
144269,33.864190,48.262580,IR,Aleshtar
144443,37.477600,45.894300,IR,Ajab%20Shir
144448,31.319010,48.684200,IR,Ahvaz
144484,28.882600,51.274600,IR,Ahram
144616,38.477400,47.069900,IR,Ahar
144696,30.700600,49.831500,IR,Aghajari
144794,36.066670,50.550000,IR,Abyek
144795,36.039930,50.531010,IR,Abyek
145034,36.146800,49.218000,IR,Abhar
145233,32.992600,47.419800,IR,Abdanan
